#breakingnews,Love Lab
#brofist,My Love Story!!
#cokemasterrace,K-On! Season 1
#curious,Hyouka
#dealwithit,Love, Chunibyo and Other Delusions
#evilgrin,Binbogami ga!
#fedup,Engaged to the Unidentified
#flattered,Saekano: How to Raise a Boring Girlfriend
#flyingbunsofdoom,YuruYuri
#forgotkeys,Gintama
#garlock,The Pet Girl of Sakurasou
#giveuponlife,Tamako Market
#helmetbro,Zeta Gundam
#idoruwinkdesu,Love, Chunibyo and Other Delusions
#justno,Gurren Lagann
#missedthepoint,A Certain Scientific Railgun
#deranosebleed,Tamako Market
#hajimepout,Gatchaman Crowds
#nuidideverythingright,Kill la Kill
#plz,Trigun
#rerorero,JoJo's Bizarre Adventure
#scrumptiouslymoe,Soranowoto
#slapbet,YuruYuri
#watchadoin,Hyouka
#torrentialdownpour,Kill la Kill
#slightoverreaction,Love Lab
#prelenny,Yurikuma Arashi
#dekotableflip,Love, Chunibyo and Other Delusions
#volibearQ,Love, Chunibyo and Other Delusions
#mywaifumadeyouasandwich,Sword Art Online
#urbansmile,Nisekoi
#anko,Tamako Market
#hyoukawink,Hyouka
#yousaidsomethingdumb,Nisekoi
#banjo,Love, Chunibyo and Other Delusions
#peasants,Beyond the Boundary
#notalolicon,Bakemonogatari
#excitedyui,K-On! Season 1
#abashedbestia,Is It Wrong to Try to Pick Up Girls in a Dungeon?
#akyuusqueel,Touhou
#amagamiplayfulbite,Amagami SS
#arakawascream,Arakawa Under the Bridge
#asunanotamused,Sword Art Online
#bakaa,Plastic Memories
#barakamonnotcool,Barakamon
#bestiablehh,Is It Wrong to Try to Pick Up Girls in a Dungeon?
#bestiacheckyourprivilage,Is It Wrong to Try to Pick Up Girls in a Dungeon?
#charlming,Infinite Stratos
#charlpumped,Infinite Stratos
#charlstunned,Infinite Stratos
#chiyomad,Monthly Girls' Nozaki-kun
#comewithmeifyouwanttobebestgir,Nisekoi
#containrage,Gugure! Kokkuri-san
#crazyhatgirl,Yozakura Quartet
#crazyhatgirlexcited,Yozakura Quartet
#disbelief,Nichijou
#dontdometh,Code Geass
#duckhue,Food Wars!
#embarassedisla,Plastic Memories
#eriribathblush,Saekano: How to Raise a Boring Girlfriend
#erirismile,Saekano: How to Raise a Boring Girlfriend
#eririwot,Saekano: How to Raise a Boring Girlfriend
#erunahuh,Mikagura School Suite
#etotamadunno,ETOTAMA
#eyebleed,Gintama
#flclcatface,FLCL
#ginkoehh,Yurikuma Arashi
#gintamacrushed,Gintama
#gintamadead,Gintama
#gintamaghost,Gintama
#gintamaphoneshock,Gintama
#gintamasunlight,Gintama
#gintamathispleasesme,Gintama
#happycharl,Infinite Stratos
#happypoi,KanColle
#insolentkek,High School DxD
#islaforcedsmile,Plastic Memories
#izananotthisshitagain,Knights of Sidonia
#josephcrying,JoJo's Bizarre Adventure
#katoupout,Saekano: How to Raise a Boring Girlfriend
#katoutilt,Saekano: How to Raise a Boring Girlfriend
#nocomment,Assassination Classroom
#kurousagitears,Problem Children are Coming from Another World, Aren't They?
#kyonfacepalm,Haruhi
#maidshock,ALDNOAH.ZERO
#mariawut,Maria the Virgin Witch
#marikalewd,Nisekoi
#masaodidnothingwrong,Shiki
#mekakucitytaunt,Mekakucity Actors
#michiruyeahk,Plastic Memories
#mug2,Legend of the Galactic Heroes
#nichijouqq,Nichijou
#pissedina,Kokoro Connect
#pissedkaiji,Kaiji
#psychoshock,Psycho-Pass
#racoonwot,Himouto! Umaru-chan
#reinastunned,Sound! Euphonium
#rengehype,Non Non Biyori
#rickastatic,Love, Chunibyo and Other Delusions
#sayhwatagain,Akame ga Kill
#scaredmio,K-On! Season 1
#scarycharl,Infinite Stratos
#sheerdisgust,Fate/stay night Unlimited Blade Works
#smugflowers,Gintama
#smugillya,Fate/stay night Unlimited Blade Works
#smuglancer,Fate/stay night Unlimited Blade Works
#smugshinoa,Seraph of the End: Vampire Reign
#soumadisdain,Food Wars!
#stonedzack,Plastic Memories
#surprisedandimpressed,YUKI YUNA IS A HERO
#surprisedwot,Plastic Memories
#takeolightning,My Love Story!!
#takeowut,My Love Story!!
#thoughtful,Ninja Slayer
#tougouwotmagic,YUKI YUNA IS A HERO
#traumatiseddog,Gintama
#trollarcher,Carnival Phantasm
#uglycry,Hanasaku Iroha
#umiface,Love Live! School Idol Project
#utahagottrolled,Saekano: How to Raise a Boring Girlfriend
#vashheadscratch,Trigun
#WRYYY,No Game No Life
